{id=986058596, lat=48.3943574, lon=13.4278648, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=988120326, lat=47.2677997, lon=12.3375686, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=1044751348, lat=47.3939122, lon=13.6816538, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=1050533793, lat=47.1502148, lon=10.5813812, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=1059125472, lat=47.6865463, lon=13.0987282, country='AT', city='Hallein', street='null', housenumber='null', postcode='5400', name='Diskonttankstelle'}
{id=1139492567, lat=47.2404095, lon=13.2000284, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=1144470153, lat=48.5222984, lon=13.4907413, country='null', city='null', street='null', housenumber='null', postcode='null', name='Knunbauer'}
{id=1191909028, lat=47.3865989, lon=13.4509463, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=1196845105, lat=47.9057325, lon=13.1935477, country='null', city='null', street='null', housenumber='null', postcode='null', name='Leikermoser Tankautomat 24h'}
{id=1211242181, lat=47.2851827, lon=12.4929571, country='null', city='null', street='null', housenumber='null', postcode='null', name='Turmöl'}
{id=1211242184, lat=47.2852355, lon=12.4913281, country='null', city='null', street='null', housenumber='null', postcode='null', name='Turmöl'}
{id=1211242187, lat=47.2851094, lon=12.4947898, country='AT', city='Mittersill', street='null', housenumber='null', postcode='5730', name='Eni'}
{id=1224117384, lat=47.7944196, lon=12.986985, country='null', city='null', street='null', housenumber='null', postcode='null', name='Turmöl'}
{id=1229817753, lat=48.3315005, lon=13.3576491, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=1236009151, lat=47.7713688, lon=12.9441101, country='null', city='null', street='null', housenumber='null', postcode='null', name='Austropetrol'}
{id=1243859215, lat=47.8121026, lon=13.0238843, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=1244825393, lat=47.3686742, lon=11.1440307, country='null', city='Leutasch', street='null', housenumber='null', postcode='6105', name='Raiffeisen Lagerhaus'}
{id=1259564409, lat=47.5896827, lon=13.4644137, country='null', city='null', street='null', housenumber='null', postcode='null', name='lm energy Schwaighofer'}
