country,date,diesel,diff_diesel,diff_e5,e5,index
Belgium,2021-12-06,1.60436,-0.0813600000000001,0.08123000000000014,1.58177,1
Belgium,2021-12-13,1.6071600000000001,-0.07716000000000012,0.10965000000000003,1.56135,1
Belgium,2021-12-20,1.62698,-0.10898000000000008,0.04389000000000021,1.6151099999999998,1
Belgium,2022-01-03,1.654,-0.08099999999999996,0.07800000000000007,1.64,1
Belgium,2022-01-10,1.66829,-0.0952900000000001,0.07116000000000011,1.6468399999999999,1
Belgium,2022-01-17,1.6847,-0.0807,0.10664000000000007,1.62536,1
Belgium,2022-01-24,1.69076,-0.07475999999999994,0.0947300000000002,1.64827,1
Belgium,2022-01-31,1.7084000000000001,-0.06440000000000023,0.11514000000000002,1.65686,1
Belgium,2022-02-07,1.73047,-0.06746999999999992,0.11575000000000002,1.67325,1
Belgium,2022-02-14,1.74831,-0.0823100000000001,0.12140000000000017,1.6845999999999999,1
Belgium,2022-02-21,1.74033,-0.0773299999999999,0.10299999999999998,1.701,1
Belgium,2022-02-28,1.783,-0.04499999999999993,0.13815,1.73485,1
Belgium,2022-03-07,1.92427,0.1077300000000001,0.2553000000000001,1.8117,1
Belgium,2022-03-14,2.14289,0.16910999999999987,0.3083699999999998,1.95063,1
Belgium,2022-03-21,1.8782,0.29479999999999995,0.39090000000000025,1.7530999999999999,1
Belgium,2022-03-28,1.96174,0.2172599999999998,0.3658399999999997,1.7601600000000002,1
Belgium,2022-04-04,2.01878,0.03921999999999981,0.2483900000000001,1.80761,1
Belgium,2022-04-11,1.89473,0.10427000000000008,0.23871999999999982,1.78728,1
Belgium,2022-04-25,1.94272,0.09628000000000014,0.26571999999999996,1.76328,1
Belgium,2022-05-02,1.98982,0.08518000000000026,0.2374700000000003,1.8215299999999999,1
Belgium,2022-05-09,2.04087,0.034130000000000216,0.21741999999999995,1.87558,1
Belgium,2022-05-16,1.9989400000000002,0.040059999999999985,0.20518999999999976,1.92581,1
Belgium,2022-05-23,1.9440899999999999,0.06590999999999991,0.1862299999999999,1.96777,1
Belgium,2022-05-30,1.9093699999999998,0.12763000000000013,0.24561999999999995,1.94738,1
Belgium,2022-06-06,1.9842,-0.0041999999999999815,-0.024379999999999846,2.02338,1
Belgium,2022-06-13,2.11205,-0.07105000000000006,-0.1000399999999999,2.10704,1
Belgium,2022-06-20,2.1734400000000003,-0.11244000000000032,-0.13683,2.11083,1
Belgium,2022-06-27,2.17801,-0.13000999999999996,-0.11399000000000004,2.04299,1
Belgium,2022-07-04,2.11117,-0.11116999999999999,-0.10643000000000002,2.00643,1
Belgium,2022-07-11,2.04371,-0.07870999999999984,-0.10669000000000017,1.99069,1
Belgium,2022-07-18,2.02663,-0.04962999999999984,-0.04623999999999984,1.91024,1
Belgium,2022-07-25,2.00024,-0.06123999999999974,-0.05828000000000011,1.87528,1
Belgium,2022-08-01,1.97583,-0.032829999999999915,-0.03261999999999987,1.84662,1
Belgium,2022-08-08,1.91478,-0.00878000000000001,-0.01998000000000011,1.7799800000000001,1
Belgium,2022-08-15,1.88104,0.04295999999999989,0.025269999999999904,1.74173,1
Belgium,2022-08-22,1.8920299999999999,0.08297000000000021,0.07308999999999988,1.7189100000000002,1
Belgium,2022-08-29,2.00534,0.07166000000000006,0.10250000000000004,1.7335,1
Belgium,2022-09-05,2.02106,0.13793999999999995,0.3794200000000001,1.68858,1
Belgium,2022-09-12,1.99061,0.1443899999999998,0.3623399999999999,1.65466,1
Belgium,2022-09-19,1.9343599999999999,0.09963999999999995,0.30981000000000014,1.67519,1
Belgium,2022-09-26,1.8854000000000002,0.1275999999999997,0.2615400000000001,1.68946,1
Belgium,2022-10-03,1.90662,0.10938000000000003,0.2501700000000002,1.6908299999999998,1
Belgium,2022-10-10,1.97512,0.16588000000000003,0.2554399999999999,1.74956,1
Belgium,2022-10-17,2.14471,0.011290000000000244,0.20536999999999983,1.8066300000000002,1
Czechia,2021-03-01,1.0835299999999999,0.22047000000000017,0.36202999999999985,1.1239700000000001,5
Czechia,2021-03-08,1.08619,0.23080999999999996,0.37741,1.12859,5
Czechia,2021-03-15,1.12152,0.20347999999999988,0.35220000000000007,1.1718,5
Czechia,2021-03-22,1.13649,0.17450999999999994,0.31191000000000013,1.1960899999999999,5
Czechia,2021-03-29,1.13969,0.16830999999999996,0.3114999999999999,1.2015,5
Czechia,2021-04-12,1.13987,0.1681300000000001,0.30659999999999976,1.2104000000000001,5
Czechia,2021-04-19,1.1451600000000002,0.16483999999999988,0.3083800000000001,1.21762,5
Czechia,2021-04-26,1.14942,0.16057999999999995,0.2983399999999998,1.2236600000000002,5
Czechia,2021-05-03,1.15136,0.16364,0.29995000000000016,1.2260499999999999,5
Czechia,2021-05-10,1.1595499999999999,0.1554500000000001,0.2912300000000001,1.23477,5
Czechia,2021-05-17,1.17935,0.14965000000000006,0.2791600000000001,1.25884,5
Czechia,2021-05-24,1.18368,0.1533199999999999,0.27557999999999994,1.26542,5
Czechia,2021-05-31,1.18194,0.16105999999999998,0.28383999999999987,1.2641600000000002,5
Czechia,2021-06-07,1.19094,0.16005999999999987,0.27757999999999994,1.27142,5
Czechia,2021-06-14,1.1959300000000002,0.16506999999999983,0.28398999999999996,1.27201,5
Czechia,2021-06-21,1.19723,0.1707700000000001,0.29234000000000004,1.27166,5
Czechia,2021-06-28,1.2108299999999999,0.16917000000000004,0.3035399999999999,1.28346,5
Czechia,2021-07-05,1.20671,0.17829000000000006,0.3149000000000002,1.2791,5
Czechia,2021-07-12,1.22579,0.16620999999999997,0.3024899999999999,1.30051,5
Czechia,2021-07-19,1.23527,0.16372999999999993,0.30357999999999996,1.31142,5
Czechia,2021-07-26,1.23532,0.15968000000000004,0.30027000000000004,1.31273,5
Czechia,2021-08-02,1.24329,0.1567099999999999,0.3018299999999998,1.3211700000000002,5
Czechia,2021-08-09,1.24591,0.14508999999999994,0.2900999999999998,1.3309000000000002,5
Czechia,2021-08-16,1.24403,0.14796999999999993,0.2938599999999998,1.3291400000000002,5
Czechia,2021-08-23,1.24014,0.1338600000000001,0.27854999999999985,1.3244500000000001,5
Czechia,2021-08-30,1.23684,0.15315999999999996,0.29444000000000026,1.3215599999999998,5
Czechia,2021-09-06,1.2446,0.1504000000000001,0.2935000000000001,1.3305,5
Czechia,2021-09-13,1.25229,0.14871000000000012,0.29568000000000016,1.3333199999999998,5
Czechia,2021-09-20,1.25102,0.1689799999999999,0.30526999999999993,1.33073,5
Czechia,2021-09-27,1.26031,0.17669,0.2984500000000001,1.33455,5
Czechia,2021-10-04,1.2923,0.18169999999999997,0.31131,1.35569,5
Czechia,2021-10-11,1.3373,0.1847000000000001,0.3114699999999999,1.39053,5
Czechia,2021-10-18,1.36601,0.1939900000000001,0.31735999999999986,1.4126400000000001,5
Czechia,2021-10-25,1.37923,0.18977,0.31913000000000014,1.41587,5
Czechia,2021-11-01,1.4008,0.1701999999999999,0.30577999999999994,1.43622,5
Czechia,2021-11-08,1.4293900000000002,0.1456099999999998,0.2813399999999999,1.47066,5
Czechia,2021-11-15,1.43268,0.14032,0.2856400000000001,1.47436,5
Czechia,2021-11-22,1.4200899999999999,0.1409100000000001,0.2750300000000001,1.46597,5
Czechia,2021-11-29,1.39706,0.15294000000000008,0.27074,1.44326,5
Czechia,2021-12-06,1.40411,0.11888999999999994,0.21896000000000004,1.44404,5
Czechia,2021-12-13,1.39333,0.13667000000000007,0.2399500000000001,1.43105,5
Czechia,2021-12-20,1.39859,0.11941000000000002,0.22371000000000008,1.43529,5
Czechia,2022-01-03,1.41055,0.16244999999999998,0.27222999999999997,1.44577,5
Czechia,2022-01-10,1.4346199999999998,0.13838000000000017,0.24330999999999992,1.47469,5
Czechia,2022-01-17,1.4323,0.17170000000000019,0.2601800000000001,1.47182,5
Czechia,2022-01-24,1.4364000000000001,0.17959999999999998,0.26779,1.4752100000000001,5
Czechia,2022-01-31,1.45425,0.18974999999999986,0.27905999999999986,1.4929400000000002,5
Czechia,2022-02-07,1.48101,0.1819900000000001,0.2703399999999998,1.5186600000000001,5
Czechia,2022-02-14,1.47503,0.19096999999999986,0.29211999999999994,1.5138800000000001,5
Czechia,2022-02-21,1.49788,0.16511999999999993,0.26763000000000026,1.5363699999999998,5
Czechia,2022-02-28,1.52754,0.2104600000000001,0.31853,1.55447,5
Czechia,2022-03-07,1.7989000000000002,0.23309999999999986,0.36379000000000006,1.7032100000000001,5
Czechia,2022-03-14,1.97698,0.3350199999999999,0.40741000000000005,1.8515899999999998,5
Czechia,2022-03-21,1.85897,0.31403000000000003,0.3682400000000001,1.77576,5
Czechia,2022-03-28,1.917,0.2619999999999998,0.32738,1.7986199999999999,5
Czechia,2022-04-04,1.92611,0.13188999999999984,0.24202000000000012,1.81398,5
Czechia,2022-04-11,1.85869,0.14031000000000016,0.2714899999999998,1.75451,5
Czechia,2022-04-25,1.8305799999999999,0.20842000000000027,0.28601999999999994,1.74298,5
Czechia,2022-05-02,1.82984,0.24516000000000027,0.3199900000000002,1.73901,5
Czechia,2022-05-09,1.85133,0.22367000000000026,0.33064000000000004,1.76236,5
Czechia,2022-05-16,1.87115,0.16785000000000005,0.31986999999999965,1.8111300000000001,5
Czechia,2022-05-23,1.87619,0.13380999999999976,0.28122999999999987,1.87277,5
Czechia,2022-05-30,1.86274,0.17425999999999986,0.3092999999999999,1.8837000000000002,5
Czechia,2022-06-06,1.83374,0.14626000000000006,0.14175000000000004,1.85725,5
Czechia,2022-06-13,1.88574,0.15525999999999995,0.09267000000000025,1.9143299999999999,5
Czechia,2022-06-20,1.9344100000000002,0.12658999999999976,0.03970999999999991,1.93429,5
Czechia,2022-06-27,1.94928,0.09872000000000014,-0.005029999999999868,1.93403,5
Czechia,2022-07-04,1.94706,0.05293999999999999,-0.036960000000000104,1.93696,5
Czechia,2022-07-11,1.93974,0.02526000000000006,-0.052650000000000086,1.93665,5
Czechia,2022-07-18,1.92521,0.05179,-0.06108999999999987,1.92509,5
Czechia,2022-07-25,1.89452,0.044480000000000075,-0.06427000000000005,1.88127,5
Czechia,2022-08-01,1.84306,0.09994000000000014,-0.007059999999999844,1.82106,5
Czechia,2022-08-08,1.79539,0.11060999999999988,0.013719999999999954,1.74628,5
Czechia,2022-08-15,1.73823,0.18577,0.09840000000000004,1.6685999999999999,5
Czechia,2022-08-22,1.7184300000000001,0.25656999999999996,0.15669,1.63531,5
Czechia,2022-08-29,1.8282,0.2487999999999999,0.18790000000000018,1.6481,5
Czechia,2022-09-05,1.84717,0.31182999999999983,0.42474999999999996,1.64325,5
Czechia,2022-09-12,1.82299,0.3120099999999997,0.41974999999999985,1.59725,5
Czechia,2022-09-19,1.80399,0.23000999999999983,0.41179999999999994,1.5732000000000002,5
Czechia,2022-09-26,1.74915,0.2638499999999999,0.4186099999999999,1.5323900000000001,5
Czechia,2022-10-03,1.75125,0.26475000000000004,0.38219000000000003,1.55881,5
Czechia,2022-10-10,1.80768,0.33332000000000006,0.33304999999999985,1.67195,5
Czechia,2022-10-17,1.8924400000000001,0.26356,0.2775699999999999,1.7344300000000001,5
Denmark,2021-03-01,1.35288,-0.048880000000000035,-0.09819,1.58419,6
Denmark,2021-03-08,1.3367,-0.01970000000000005,-0.10369000000000006,1.60969,6
Denmark,2021-03-15,1.3636,-0.03859999999999997,-0.11258999999999997,1.63659,6
Denmark,2021-03-22,1.33674,-0.025740000000000096,-0.11518000000000006,1.62318,6
Denmark,2021-03-29,1.3232899999999999,-0.015289999999999804,-0.11018000000000017,1.62318,6
Denmark,2021-04-12,1.3231300000000001,-0.015130000000000088,-0.10599000000000003,1.62299,6
Denmark,2021-04-19,1.33667,-0.02666999999999997,-0.11053999999999986,1.6365399999999999,6
Denmark,2021-04-26,1.3232599999999999,-0.013259999999999827,-0.11458999999999997,1.63659,6
Denmark,2021-05-03,1.3366500000000001,-0.02165000000000017,-0.11051999999999995,1.63652,6
Denmark,2021-05-10,1.3636199999999998,-0.048619999999999886,-0.12405999999999984,1.6500599999999999,6
Denmark,2021-05-17,1.36358,-0.034580000000000055,-0.11200999999999994,1.65001,6
Denmark,2021-05-24,1.3635599999999999,-0.026559999999999917,-0.09553999999999996,1.6365399999999999,6
Denmark,2021-05-31,1.36354,-0.020540000000000003,-0.1019699999999999,1.64997,6
Denmark,2021-06-07,1.3903599999999998,-0.03935999999999984,-0.11433000000000004,1.66333,6
Denmark,2021-06-14,1.39051,-0.029509999999999925,-0.12094999999999989,1.67695,6
Denmark,2021-06-21,1.3850799999999999,-0.017079999999999762,-0.08465000000000011,1.6486500000000002,6
Denmark,2021-06-28,1.41188,-0.03188000000000013,-0.08843000000000001,1.67543,6
Denmark,2021-07-05,1.4255,-0.04049999999999998,-0.09507999999999983,1.68908,6
Denmark,2021-07-12,1.42521,-0.033210000000000184,-0.08573999999999993,1.68874,6
Denmark,2021-07-19,1.41173,-0.012729999999999908,-0.08714000000000022,1.7021400000000002,6
Denmark,2021-07-26,1.4118199999999999,-0.016819999999999835,-0.07580999999999993,1.68881,6
Denmark,2021-08-02,1.4250999999999998,-0.0250999999999999,-0.07905000000000006,1.70205,6
Denmark,2021-08-09,1.41186,-0.02085999999999988,-0.08129999999999993,1.7023,6
Denmark,2021-08-16,1.41192,-0.01992000000000016,-0.07936999999999994,1.70237,6
Denmark,2021-08-23,1.39843,-0.024429999999999952,-0.07243,1.67543,6
Denmark,2021-08-30,1.42548,-0.03548000000000018,-0.08650999999999986,1.70251,6
Denmark,2021-09-06,1.43895,-0.043949999999999934,-0.09197999999999995,1.71598,6
Denmark,2021-09-13,1.4389100000000001,-0.03791000000000011,-0.08692999999999995,1.71593,6
Denmark,2021-09-20,1.46586,-0.04586000000000001,-0.08000000000000007,1.716,6
Denmark,2021-09-27,1.49139,-0.05438999999999994,-0.08028999999999997,1.71329,6
Denmark,2021-10-04,1.53145,-0.05745,-0.09975,1.76675,6
Denmark,2021-10-11,1.5844200000000002,-0.06242000000000014,-0.07728000000000002,1.77928,6
Denmark,2021-10-18,1.59812,-0.03811999999999993,-0.07645000000000013,1.8064500000000001,6
Denmark,2021-10-25,1.5847,-0.015700000000000047,-0.08491999999999988,1.81992,6
Denmark,2021-11-01,1.5982,-0.027200000000000113,-0.09143000000000012,1.8334300000000001,6
Denmark,2021-11-08,1.61193,-0.03693000000000013,-0.12207999999999997,1.87408,6
Denmark,2021-11-15,1.6120999999999999,-0.03909999999999991,-0.1277299999999999,1.88773,6
Denmark,2021-11-22,1.5853599999999999,-0.024359999999999937,-0.09311999999999987,1.83412,6
Denmark,2021-11-29,1.59883,-0.04882999999999993,-0.10670000000000002,1.8207,6
Denmark,2021-12-06,1.51825,0.00474999999999981,-0.06369000000000002,1.72669,6
Denmark,2021-12-13,1.53573,-0.005730000000000013,-0.10678999999999994,1.77779,6
Denmark,2021-12-20,1.5357100000000001,-0.017710000000000115,-0.10531999999999986,1.7643199999999999,6
Denmark,2022-01-03,1.54876,0.02424000000000004,-0.08620000000000005,1.8042,6
Denmark,2022-01-10,1.5891199999999999,-0.016119999999999912,-0.08621999999999996,1.80422,6
Denmark,2022-01-17,1.58835,0.015650000000000164,-0.08478999999999992,1.81679,6
Denmark,2022-01-24,1.6149200000000001,0.0010799999999999699,-0.10031999999999974,1.8433199999999998,6
Denmark,2022-01-31,1.62862,0.01537999999999995,-0.08504999999999985,1.8570499999999999,6
Denmark,2022-02-07,1.64152,0.021479999999999944,-0.08089000000000013,1.86989,6
Denmark,2022-02-14,1.65567,0.01032999999999995,-0.09156999999999993,1.89757,6
Denmark,2022-02-21,1.65598,0.007020000000000026,-0.10736999999999974,1.9113699999999998,6
Denmark,2022-02-28,1.72303,0.014969999999999928,-0.07851000000000008,1.95151,6
Denmark,2022-03-07,1.92458,0.10742000000000007,-0.005409999999999471,2.0724099999999996,6
Denmark,2022-03-14,1.9111600000000002,0.40083999999999964,0.18656000000000006,2.07244,6
Denmark,2022-03-21,1.9661099999999998,0.20689000000000024,0.0972599999999999,2.0467400000000002,6
Denmark,2022-03-28,2.14133,0.03766999999999987,-0.0018899999999999473,2.12789,6
Denmark,2022-04-04,1.92646,0.13153999999999977,-0.031789999999999985,2.08779,6
Denmark,2022-04-11,1.87294,0.12606000000000006,0.005160000000000053,2.0208399999999997,6
Denmark,2022-04-25,2.00696,0.03204000000000029,-0.058619999999999894,2.08762,6
Denmark,2022-05-02,2.08762,-0.012619999999999632,-0.12271999999999972,2.18172,6
Denmark,2022-05-09,2.0743400000000003,0.0006599999999998829,-0.11578000000000044,2.2087800000000004,6
Denmark,2022-05-16,2.00624,0.03276000000000012,-0.0902400000000001,2.22124,6
Denmark,2022-05-23,1.9526199999999998,0.05737999999999999,-0.16145999999999994,2.31546,6
Denmark,2022-05-30,2.04729,-0.01028999999999991,-0.21723999999999988,2.41024,6
Denmark,2022-06-06,2.1817399999999996,-0.2017399999999996,-0.5456999999999996,2.5446999999999997,6
Denmark,2022-06-13,2.27563,-0.23463000000000012,-0.48368999999999973,2.49069,6
Denmark,2022-06-20,2.3108899999999997,-0.24988999999999972,-0.4619099999999998,2.43591,6
Denmark,2022-06-27,2.26992,-0.2219199999999999,-0.5062199999999997,2.4352199999999997,6
Denmark,2022-07-04,2.1629,-0.16290000000000004,-0.48201000000000027,2.38201,6
Denmark,2022-07-11,2.1219099999999997,-0.15690999999999966,-0.4435199999999999,2.32752,6
Denmark,2022-07-18,2.12131,-0.14430999999999972,-0.38226000000000027,2.2462600000000004,6
Denmark,2022-07-25,2.06719,-0.12819000000000003,-0.3751,2.1921,6
Denmark,2022-08-01,2.0804,-0.13739999999999997,-0.4047299999999998,2.21873,6
Denmark,2022-08-08,1.97433,-0.06833,-0.32587999999999995,2.08588,6
Denmark,2022-08-15,1.97249,-0.048490000000000144,-0.34936000000000034,2.1163600000000002,6
Denmark,2022-08-22,2.06669,-0.09168999999999983,-0.32443999999999984,2.11644,6
Denmark,2022-08-29,2.14711,-0.07011000000000012,-0.28018999999999994,2.11619,6
Denmark,2022-09-05,2.06686,0.09213999999999967,0.03207000000000004,2.03593,6
Denmark,2022-09-12,2.01304,0.12195999999999962,0.021439999999999904,1.99556,6
Denmark,2022-09-19,1.93215,0.10184999999999977,-0.05068000000000006,2.03568,6
Denmark,2022-09-26,1.98548,0.02751999999999999,-0.07818000000000014,2.02918,6
Denmark,2022-10-03,1.98545,0.030550000000000077,-0.08814999999999995,2.02915,6
Denmark,2022-10-10,2.17385,-0.032849999999999824,-0.12448999999999977,2.1294899999999997,6
Denmark,2022-10-17,2.21433,-0.05832999999999977,-0.18486000000000002,2.19686,6
France,2021-03-01,1.37296,-0.06895999999999991,0.005390000000000006,1.48061,9
France,2021-03-08,1.3758,-0.05879999999999996,0.0156400000000001,1.49036,9
France,2021-03-15,1.39028,-0.06528,0.014319999999999888,1.5096800000000001,9
France,2021-03-22,1.39298,-0.08198000000000016,-0.013680000000000136,1.5216800000000001,9
France,2021-03-29,1.3779400000000002,-0.06994000000000011,0.0006099999999997774,1.5123900000000001,9
France,2021-04-12,1.36944,-0.06143999999999994,0.0026599999999998847,1.51434,9
France,2021-04-19,1.37182,-0.061819999999999986,0.009689999999999976,1.51631,9
France,2021-04-26,1.37864,-0.06864000000000003,0.001180000000000181,1.5208199999999998,9
France,2021-05-03,1.3774600000000001,-0.06246000000000018,0.00934999999999997,1.51665,9
France,2021-05-10,1.39133,-0.07633000000000001,-0.004750000000000032,1.53075,9
France,2021-05-17,1.38885,-0.05984999999999996,0.014550000000000063,1.52345,9
France,2021-05-24,1.39126,-0.054259999999999975,0.017779999999999907,1.52322,9
France,2021-05-31,1.39152,-0.04852000000000012,0.027230000000000087,1.52077,9
France,2021-06-07,1.4022000000000001,-0.051200000000000134,0.02022999999999997,1.52877,9
France,2021-06-14,1.40873,-0.04773000000000005,0.02458999999999989,1.5314100000000002,9
France,2021-06-21,1.41938,-0.05137999999999998,0.027940000000000076,1.53606,9
